origin_apt,destination_apt,typecode,0
AAL,AMS,E75L,1
ALL,AMS,E190,1
AMS,AAL,E75L,1
AMS,ALL,E190,1
AMS,BER,E75L,1
AMS,BGO,E190,1
AMS,BLL,E75L,1
AMS,BLQ,E75L,1
AMS,BOD,E190,1
AMS,BRE,E75L,3
AMS,BRU,E190,2
AMS,BRU,E75L,2
AMS,BSL,E190,1
AMS,BSL,E75L,2
AMS,CPH,E190,1
AMS,CWL,E75L,2
AMS,DUB,E190,1
AMS,DUS,E75L,2
AMS,FDE,E75L,2
AMS,FLR,E190,1
AMS,FRA,E75L,2
AMS,GDN,E75L,2
AMS,GOA,E75L,1
AMS,GOT,E75L,3
AMS,GVA,E190,1
AMS,GVA,E75L,1
AMS,HAJ,E75L,2
AMS,HAM,E75L,3
AMS,HUY,E75L,3
AMS,KRK,E75L,1
AMS,LCY,E190,1
AMS,LHR,E190,1
AMS,LUX,E75L,2
AMS,MME,E75L,2
AMS,MUC,E190,1
AMS,NCE,E75L,1
AMS,NTE,E75L,1
AMS,NUE,E75L,3
AMS,NWI,E75L,2
AMS,OSL,E190,1
AMS,SKE,E190,1
AMS,STR,E75L,2
AMS,SVG,E190,1
AMS,SVG,E75L,2
AMS,TRD,E75L,2
AMS,TRF,E75L,1
AMS,TRN,E75L,1
AMS,TXL,E190,1
AMS,VXO,E75L,1
AMS,WRO,E75L,1
AMS,ZRH,E190,1
AMS,ZRH,E75L,2
BER,AMS,E75L,1
BGO,AMS,E190,1
BLL,AMS,E75L,1
BLQ,AMS,E75L,1
BOD,AMS,E190,1
BRE,AMS,E75L,2
BRS,AMS,E75L,1
BRU,AMS,E190,2
BRU,AMS,E75L,2
BSL,AMS,E75L,3
CPH,AMS,E190,1
CWL,AMS,E75L,1
DUB,AMS,E190,1
DUS,AMS,E75L,1
FDE,AMS,E75L,1
FLR,AMS,E190,1
FRA,AMS,E75L,2
GDN,AMS,E75L,1
GOA,AMS,E75L,1
GOT,AMS,E75L,3
GVA,AMS,E75L,1
HAJ,AMS,E75L,1
HAM,AMS,E75L,3
HUY,AMS,E75L,2
KRK,AMS,E75L,1
KTW,AMS,E190,1
LCY,AMS,E190,1
LHR,AMS,E190,1
LUX,AMS,E75L,2
MME,AMS,E75L,1
MUC,AMS,E190,1
NCE,AMS,E75L,1
NTE,AMS,E75L,1
NUE,AMS,E75L,3
NWI,AMS,E75L,1
OSL,AMS,E190,1
STR,AMS,E75L,2
SVG,AMS,E190,1
SVG,AMS,E75L,2
TRD,AMS,E75L,1
TRF,AMS,E75L,1
TXL,AMS,E190,1
VXO,AMS,E75L,1
WRO,AMS,E75L,1
ZRH,AMS,E190,1
ZRH,AMS,E75L,2
