,airport,lat,lon
0,AAL,57.09275891,9.849243164
1,ALL,44.050598,8.12743
2,AMS,52.308601,4.76389
3,BER,52.351389,13.493889
4,BGO,60.29339981,5.218140125
5,BLL,55.74029922,9.151780128
6,BLQ,44.5354,11.2887
7,BOD,44.8283,-0.715556
8,BRE,53.04750061,8.786669731
9,BRS,51.382702,-2.71909
10,BRU,50.90140152,4.48443985
11,BSL,47.59,7.529167
12,CPH,55.61790085,12.65600014
13,CWL,51.39670181,-3.343329906
14,DUB,53.421299,-6.27007
15,DUS,51.289501,6.76678
16,FDE,61.39110184,5.756939888
17,FLR,43.810001,11.2051
18,FRA,50.033333,8.570556
19,GDN,54.37760162,18.46619987
20,GOA,44.4133,8.8375
21,GOT,57.66279984,12.27980042
22,GVA,46.23809814,6.108950138
23,HAJ,52.46110153,9.685079575
24,HAM,53.63040161,9.988229752
25,HUY,53.57440186,-0.350832999
26,KRK,50.077702,19.7848
27,KTW,50.4743,19.08
28,LCY,51.505299,0.055278
29,LHR,51.4706,-0.461941
30,LUX,49.6233333,6.2044444
31,MME,54.50920105,-1.429409981
32,MUC,48.353802,11.7861
33,NCE,43.65840149,7.215869904
34,NTE,47.15319824,-1.610730052
35,NUE,49.498699,11.078056
36,NWI,52.67580032,1.282780051
37,OSL,60.19390106,11.10039997
38,SKE,59.18500137,9.566940308
39,STR,48.68989944,9.221960068
40,SVG,58.87670135,5.63778019
41,TRD,63.4578018,10.9239998
42,TRF,59.18669891,10.25860024
43,TRN,45.200802,7.64963
44,TXL,52.5597,13.2877
45,VXO,56.92910004,14.72799969
46,WRO,51.10269928,16.88579941
47,ZRH,47.464699,8.54917
