destination_apt,freq,capacity,,,,,
0,1,90,,,,,
1,1,90,,,,,
2,0,90,65,,,,
3,1,90,,,76,6840,19.54285714
4,1,90,,,,,
5,1,90,,,,,
6,1,90,,,,,
7,1,90,,,,,
8,3,90,,,,,
9,4,90,,,,,
10,3,90,,,,,
11,1,90,,,,,
12,2,90,,,,,
13,1,90,,,,,
14,2,90,,,,,
15,2,90,,,,,
16,1,90,,,,,
17,2,90,,,,,
18,2,90,,,,,
19,1,90,,,,,
20,3,90,,,,,
21,2,90,,,,,
22,2,90,,,,,
23,3,90,,,,,
24,3,90,,,,,
25,1,90,,,,,
26,1,90,,,,,
27,1,90,,,,,
28,2,90,,,,,
29,2,90,,,,,
30,1,90,,,,,
31,1,90,,,,,
32,1,90,,,,,
33,3,90,,,,,
34,2,90,,,,,
35,1,90,,,,,
36,1,90,,,,,
37,2,90,,,,,
38,3,90,,,,,
39,2,90,,,,,
40,1,90,,,,,
41,1,90,,,,,
42,1,90,,,,,
43,1,90,,,,,
44,1,90,,,,,
45,3,90,,,,,
46,0,90,,,,,
47,0,90,,,,,
