1, 0, 12, 45
1, 5, 0, 0
1, 8, 8, 23
1, 8, 8, 23
1, 8, 23, 23
1, 8, 23, 23
1, 10, 34, 7
1, 11, 22, 43
1, 11, 22, 43
1, 11, 43, 33
1, 11, 43, 33
1, 11, 43, 33
1, 12, 4, 16
1, 12, 21, 42
1, 12, 37, 41
1, 12, 38, 40
1, 12, 38, 40
1, 12, 42, 38
1, 12, 42, 40
1, 12, 42, 40
1, 12, 45, 21
1, 15, 8, 23
1, 15, 8, 23
1, 15, 18, 35
1, 15, 35, 32
1, 15, 35, 32
1, 15, 35, 32
1, 18, 35, 32
1, 18, 35, 32
1, 18, 35, 32
1, 18, 39, 47
1, 18, 39, 47
1, 20, 1, 33
1, 20, 1, 33
1, 20, 1, 33
1, 20, 6, 17
1, 20, 6, 17
1, 20, 6, 17
1, 22, 1, 33
1, 22, 1, 33
1, 22, 1, 33
1, 22, 43, 33
1, 22, 43, 33
1, 22, 43, 33
1, 23, 24, 5
1, 24, 12, 45
1, 29, 9, 13
1, 29, 25, 31
1, 29, 28, 36
1, 29, 29, 14
1, 30, 11, 22
1, 30, 39, 32
1, 30, 39, 32
1, 30, 39, 32
1, 30, 39, 47
1, 30, 39, 47
1, 39, 6, 17
1, 39, 6, 17
1, 39, 6, 17
1, 39, 47, 11
1, 43, 1, 33
1, 43, 1, 33
1, 43, 1, 33
1, 43, 6, 17
1, 43, 6, 17
1, 43, 6, 17
1, 43, 20, 1
1, 44, 3, 19
1, 46, 27, 26
1, 47, 6, 17
1, 47, 6, 17
1, 47, 6, 17
